Aaien	Aaide	Geaaid
Antidateren	Antidateerde	Geantidateerd
Apaiseren	Apaiseerde	Geapaiseerd
Apocoperen	Apocopeerde	Geapocopeerd
Apparenteren	Apparenteerde	Geapparenteerd
Appliqueren	Appliqueerde	Geappliqueerd
Apporteren	Apporteerde	Geapporteerd
Appreciëren	Apprecieerde	Geapprecieerd
Appreteren	Appreteerde	Geappreteerd
Approvianderen	Approviandeerde	Geapproviandeerd
Après-skiën	Après-skiede	Geaprès-skied
Aquarelleren	Aquarelleerde	Geaquarelleerd
Arabiseren	Arabiseerde	Gearabiseerd
Arbitreren	Arbitreerde	Gearbitreerd
Archaïseren	Archaïseerde	Gearchaïseerd
Archiveren	Archiveerde	Gearchiveerd
Ardoiseren	Ardoiseerde	Geardoiseerd
Aren	Aarde	Geaard
Argwanen	Argwaande	Geargwaand
Aromatiseren	Aromatiseerde	Gearomatiseerd
Arren	Arde	Geard
Articuleren	Articuleerde	Gearticuleerd
Asemen	Asemde	Geasemd
Asfalteren	Asfalteerde	Geasfalteerd
Asfyxiëren	Asfyxieerde	Geasfyxieerd
Assembleren	Assembleerde	Geassembleerd
Asserteren	Asserteerde	Geasserteerd
Assoneren	Assoneerde	Geassoneerd
Assorteren	Assorteerde	Geassorteerd
Assumeren	Assumeerde	Geassumeerd
Atomiseren	Atomiseerde	Geatomiseerd
Atrofiëren	Atrofieerde	Geatrofieerd
Attacheren	Attacheerde	Geattacheerd
Attenderen	Attendeerde	Geattendeerd
Attesteren	Attesteerde	Geattesteerd
Attraperen	Attrapeerde	Geattrapeerd
Auditeren	Auditeerde	Geauditeerd
Ausculteren	Ausculteerde	Geausculteerd
Autodaten	Autodatete	Geautodatet
Automatiseren	Automatiseerde	Geautomatiseerd
Autopetten	Autopette	Geautopet
Avaleren	Avaleerde	Geavaleerd
Avondmalen	Avondmaalde	Geavondmaald
Avonturen	Avontuurde	Geavontuurd
Avonturieren	Avonturierde	Geavonturierd
Azen	Aasde	Geaasd
Baanderen	Baanderde	Gebaanderd
Babysitten	Babysitte	Gebabysit
Back-uppen	Back-upte	Geback-upt
Backen	Backte	Gebackt
Backpacken	Backpackte	Gebackpackt
Badderen	Badderde	Gebadderd
Badineren	Badineerde	Gebadineerd
Badmintonnen	Badmintonde	Gebadmintond
Bagatelliseren	Bagatelliseerde	Gebagatelliseerd
Bakenen	Bakende	Gebakend
Bakkeleien	Bakkeleide	Gebakkeleid
Baksen	Bakste	Gebakst
Balderen	Balderde	Gebalderd
Balen	Baalde	Gebaald
Balkaniseren	Balkaniseerde	Gebalkaniseerd
Ballasten	Ballastte	Geballast
Ballen	Balde	Gebald
Baltsen	Baltste	Gebaltst
Bamzaaien	Bamzaaide	Gebamzaaid
Banderolleren	Banderolleerde	Gebanderolleerd
Banen	Baande	Gebaand
Banjeren	Banjerde	Gebanjerd
Banken	Bankte	Gebankt
Banketteren	Banketteerde	Gebanketteerd
Bankieren	Bankierde	Gebankierd
Banvloeken	Banvloekte	Gebanvloekt
Baratteren	Baratteerde	Gebaratteerd
Barbecueën	Barbecuede	Gebarbecued
Barbieren	Barbierde	Gebarbierd
Barnen	Barnde	Gebarnd
Barreren	Barreerde	Gebarreerd
Baseballen	Baseballde	Gebaseballd
Basen	Basede	Gebased
Basketballen	Basketbalde	Gebasketbald
Basketten	Baskette	Gebasket
Bassen	Baste	Gebast
Bastaarderen	Bastaardeerde	Gebastaardeerd
Batikken	Batikte	Gebatikt
Batten	Batte	Gebat
Bauwen	Bauwde	Gebauwd
Bazen	Baasde	Gebaasd
Beademen	Beademde	Beademd
Beangsten	Beangstte	Beangst
Beangstigen	Beangstigde	Beangstigd
Bearbeiden	Bearbeidde	Bearbeid
Beargumenteren	Beargumenteerde	Beargumenteerd
Beasemen	Beasemde	Beasemd
Bebakenen	Bebakende	Bebakend
Bebinden	Bebond	Bebonden
Beboeren	Beboerde	Beboerd
Beboeten	Beboette	Beboet
Bebossen	Beboste	Bebost
Beboteren	Beboterde	Beboterd
Bebroeden	Bebroedde	Bebroed
Becommentariëren	Becommentarieerde	Becommentarieerd
Beconcurreren	Beconcurreerde	Beconcurreerd
Bedammen	Bedamde	Bedamd
Bedampen	Bedampte	Bedampt
Bedauwen	Bedauwde	Bedauwd
Bedijken	Bedijkte	Bedijkt
Bediscussiëren	Bediscussieerde	Bediscussieerd
Bedisselen	Bedisselde	Bedisseld
Bedoeken	Bedoekte	Bedoekt
Bedoelen	Bedoelde	Bedoeld
Bedoen	Bedeed	Bedaan
Bedonderen	Bedonderde	Bedonderd
Bedrinken	Bedronk	Bedronken
Bedroppelen	Bedroppelde	Bedroppeld
Bedrukken	Bedrukte	Bedrukt
Bedruppelen	Bedruppelde	Bedruppeld
Bedruppen	Bedrupte	Bedrupt
Beduchten	Beduchtte	Beducht
Beduimelen	Beduimelde	Beduimeld
Beeldsnijden		
Beesten	Beestte	Gebeest
Beffen	Befte	Gebeft
Befloersen	Befloerste	Befloerst
Begapen	Begaapte	Begaapt
Begeesteren	Begeesterde	Begeesterd
Begeven	Begaf	Begeven
Begieren	Begierde	Begierd
Begillen	Begilde	Begild
Begrazen	Begraasde	Begraasd
Begrinden	Begrindde	Begrind
Begrinten	Begrintte	Begrint
Begroeien	Begroeide	Begroeid
Begrommen	Begromde	Begromd
Begruizen	Begruisde	Begruisd
Behakken	Behakte	Behakt
Behameren	Behamerde	Behamerd
Behangen	Behing	Behangen
Beharen	Behaarde	Behaard
Behelpen	Behielp	Beholpen
Behelzen	Behelsde	Behelsd
Behouwen	Behieuw	Behouwen
Behuwen	Behuwde	Behuwd
Beiaarden	Beiaardde	Gebeiaard
Beiden	Beidde	Gebeid
Beijveren	Beijverde	Beijverd
Beitelen	Beitelde	Gebeiteld
Bejegenen	Bejegende	Bejegend
Bekabelen	Bekabelde	Bekabeld
Bekaden	Bekaadde	Bekaad
Bekakken	Bekakte	Bekakt
Bekalken	Bekalkte	Bekalkt
Bekamen	Bekaamde	Bekaamd
Bekampen	Bekampte	Bekampt
Bekappen	Bekapte	Bekapt
Be	Bekeerde	Bekeerd
keren	Bekerde	Gebekerd
Bekijven	Bekeef	Bekeven
Bekisten	Bekistte	Bekist
Bekken	Bekte	Gebekt
Beklampen	Beklampte	Beklampt
Beklappen	Beklapte	Beklapt
Beklauteren	Beklauterde	Beklauterd
Bekletsen	Bekletste	Bekletst
Beklinken	Beklonk	Beklonken
Beklonteren	Beklonterde	Beklonterd
Bekloppen	Beklopte	Beklopt
Beknabbelen	Beknabbelde	Beknabbeld
Beknagen	Beknaagde	Beknaagd
Beknellen	Beknelde	Bekneld
Beknibbelen	Beknibbelde	Beknibbeld
Beknijpen	Bekneep	Beknepen
Bekomen	Bekwam	Bekomen
Bekommeren	Bekommerde	Bekommerd
Bekopen	Bekocht	Bekocht
Bekorsten	Bekorstte	Bekorst
Bekostigen	Bekostigde	Bekostigd
Bekrabbelen	Bekrabbelde	Bekrabbeld
Bekrabben	Bekrabde	Bekrabd
Bekrammen	Bekramde	Bekramd
Bekransen	Bekranste	Bekranst
Bekrassen	Bekraste	Bekrast
Bekreunen	Bekreunde	Bekreund
Bekribben	Bekribde	Bekribd
Bekrimpen	Bekromp	Bekrompen
Bekruipen	Bekroop	Bekropen
Bekruisen	Bekruiste	Bekruist
Bekuipen	Bekuipte	Bekuipt
Bekvechten	Bekvechtte	Gebekvecht
Bekwamen	Bekwaamde	Bekwaamd
Bekwijlen	Bekwijlde	Bekwijld
Belagen	Belaagde	Belaagd
Belanden	Belandde	Beland
Belangen	Belangde	Belangd
Belatafelen	Belatafelde	Belatafeld
Belazeren	Belazerde	Belazerd
Belegeren	Belegerde	Belegerd
Belenden	Belendde	Belend
Beleren	Beleerde	Beleerd
Belezen	Belas	Belezen
Belichamen	Belichaamde	Belichaamd
Beliegen	Beloog	Belogen
Believen	Beliefde	Beliefd
Belijden	Beleed	Beleden
Belijmen	Belijmde	Belijmd
Belijnen	Belijnde	Belijnd
Belikken	Belikte	Belikt
Belommeren	Belommerde	Belommerd
Belonken	Belonkte	Belonkt
Beluchten	Beluchtte	Belucht
Beluiden	Beluidde	Beluid
Bemalen	Bemaalde	Bemalen
Bemannen	Bemande	Bemand
Bemasten	Bemastte	Bemast
Bematten	Bematte	Bemat
Bemeesteren	Bemeesterde	Bemeesterd
Bemensen	Bemenste	Bemenst
Bemeubelen	Bemeubelde	Bemeubeld
Bemodderen	Bemodderde	Bemodderd
Bemoederen	Bemoederde	Bemoederd
Bemoeien	Bemoeide	Bemoeid
Bemoeilijken	Bemoeilijkte	Bemoeilijkt
Bemonsteren	Bemonsterde	Bemonsterd
Bemorsen	Bemorste	Bemorst
Bemuren	Bemuurde	Bemuurd
Benaarstigen	Benaarstigde	Benaarstigd
Benaderen	Benaderde	Benaderd
Benagelen	Benagelde	Benageld
Benchmarken	Benchmarkte	Gebenchmarkt
Benemen	Benam	Benomen
Benen	Beende	Gebeend
Benevelen	Benevelde	Beneveld
Bengelen	Bengelde	Gebengeld
Benieuwen	Benieuwde	Benieuwd
Benuttigen	Benuttigde	Benuttigd
Beogen	Beoogde	Beoogd
Beoliën	Beoliede	Beolied
Beoordelen	Beoordeelde	Beoordeeld
Beoorlogen	Beoorloogde	Beoorloogd
Bepakken	Bepakte	Bepakt
Bepantseren	Bepantserde	Bepantserd
Beparelen	Beparelde	Bepareld
Bepeinzen	Bepeinsde	Bepeinsd
Bepekken	Bepekte	Bepekt
Beperken	Beperkte	Beperkt
Bepikken	Bepikte	Bepikt
Beplakken	Beplakte	Beplakt
Beplanken	Beplankte	Beplankt
Beplanten	Beplantte	Beplant
Bepoederen	Bepoederde	Bepoederd
Bepoeieren	Bepoeierde	Bepoeierd
Bepolderen	Bepolderde	Bepolderd
Bepotelen	Bepotelde	Bepoteld
Bepoten	Bepootte	Bepoot
Bepreken	Bepreekte	Bepreekt
Bepruiken	Bepruikte	Bepruikt
Berapen	Beraapte	Beraapt
Beredderen	Beredderde	Beredderd
Beregelen	Beregelde	Beregeld
Beregenen	Beregende	Beregend
Bereizen	Bereisde	Bereisd
Beren	Beerde	Gebeerd
Berennen	Berende	Berend
Berenten	Berentte	Berent
Beridderen	Beridderde	Beridderd
Berijden	Bereed	Bereden
Berijmen	Berijmde	Berijmd
Beringen	Beringde	Beringd
Beroemen	Beroemde	Beroemd
Beroepen	Beriep	Beroepen
Beroken	Berookte	Berookt
Berouwen	Berouwde	Berouwd
Beruiken	Berook	Beroken
Besausen	Besauste	Besaust
Beschaduwen	Beschaduwde	Beschaduwd
Beschansen	Beschanste	Beschanst
Bescheiden	Bescheidde	Bescheiden
Beschenken	Beschonk	Beschonken
Bescheuren	Bescheurde	Bescheurd
Beschijten	Bescheet	Bescheten
Beschilderen	Beschilderde	Beschilderd
Beschoeien	Beschoeide	Beschoeid
Beschreeuwen	Beschreeuwde	Beschreeuwd
Beschreien	Beschreide	Beschreid
Beschrijden	Beschreed	Beschreden
Beschrijven	Beschreef	Beschreven
Besjoemelen	Besjoemelde	Besjoemeld
Beslapen	Besliep	Beslapen
Beslechten	Beslechtte	Beslecht
Besluipen	Besloop	Beslopen
Besmeuren	Besmeurde	Besmeurd
Besnaren	Besnaarde	Besnaard
Besneeuwen	Besneeuwde	Besneeuwd
Besnijden	Besneed	Besneden
Besnuffelen	Besnuffelde	Besnuffeld
Besodemieteren	Besodemieterde	Besodemieterd
Besommen	Besomde	Besomd
Bespatten	Bespatte	Bespat
Bespiegelen	Bespiegelde	Bespiegeld
Bespijkeren	Bespijkerde	Bespijkerd
Bespikkelen	Bespikkelde	Bespikkeld
Bespoelen	Bespoelde	Bespoeld
Besprengen	Besprengde	Besprengd
Bespringen	Besprong	Besprongen
Bespugen	Bespuugde	Bespuugd
Bespuiten	Bespoot	Bespoten
Bespuwen	Bespuwde	Bespuwd
Besteken	Bestak	Bestoken
Bestempelen	Bestempelde	Bestempeld
Bestendigen	Bestendigde	Bestendigd
Besterven	Bestierf	Bestorven
Bestieren	Bestierde	Bestierd
Bestikken	Bestikte	Bestikt
Bestippelen	Bestippelde	Bestippeld
Bestippen	Bestipte	Bestipt
Bestoelen	Bestoelde	Bestoeld
Bestoken	Bestookte	Bestookt
Bestoppen	Bestopte	Bestopt
Bestormen	Bestormde	Bestormd
Bestorten	Bestortte	Bestort
Bestralen	Bestraalde	Bestraald
Bestrijken	Bestreek	Bestreken
Bestrooien	Bestrooide	Bestrooid
Bestuiven	Bestoof	Bestoven
Besuikeren	Besuikerde	Besuikerd
Betegelen	Betegelde	Betegeld
Betelen	Beteelde	Beteeld
Be	Beteerde	Beteerd
teren	Beterde	Gebeterd
Betimmeren	Betimmerde	Betimmerd
Betingelen	Betingelde	Betingeld
Betittelen	Betittelde	Betitteld
Betoelagen	Betoelaagde	Betoelaagd
Betogen	Betoogde	Betoogd
Betonen	Betoonde	Betoond
Betonnen	Betonde	Betond
Betraliën	Betraliede	Betralied
Betreden	Betrad	Betreden
Betrouwen	Betrouwde	Betrouwd
Betuinen	Betuinde	Betuind
Betuttelen	Betuttelde	Betutteld
Betwijfelen	Betwijfelde	Betwijfeld
Beugelen	Beugelde	Gebeugeld
Beugen	Beugde	Gebeugd
Beulen	Beulde	Gebeuld
Beurelen	Beurelde	Gebeureld
Beuzelen	Beuzelde	Gebeuzeld
Bevaren	Bevoer	Bevaren
Bevechten	Bevocht	Bevochten
Bevingeren	Bevingerde	Bevingerd
Bevissen	Beviste	Bevist
Bevitten	Bevitte	Bevit
Bevlaggen	Bevlagde	Bevlagd
Bevliegen	Bevloog	Bevlogen
Bevlijtigen	Bevlijtigde	Bevlijtigd
Bevloeren	Bevloerde	Bevloerd
Bevochten	Bevochtte	Bevocht
Bevolken	Bevolkte	Bevolkt
Bevoogden	Bevoogdde	Bevoogd
Bevoorrechten	Bevoorrechtte	Bevoorrecht
Bevroeden	Bevroedde	Bevroed
Bevruchten	Bevruchtte	Bevrucht
Bewaarheiden	Bewaarheidde	Bewaarheid
Bewallen	Bewalde	Bewald
Bewalmen	Bewalmde	Bewalmd
Bewasemen	Bewasemde	Bewasemd
Bewassen	Bewies	Bewassen
Bewateren	Bewaterde	Bewaterd
Bewegwijzeren	Bewegwijzerde	Bewegwijzerd
Beweiden	Beweidde	Beweid
Bewieroken	Bewierookte	Bewierookt
Bewilligen	Bewilligde	Bewilligd
Bewolken	Bewolkte	Bewolkt
Bewonderen	Bewonderde	Bewonderd
Bezaaien	Bezaaide	Bezaaid
Bezakken	Bezakte	Bezakt
Bezanden	Bezandde	Bezand
Bezatten	Bezatte	Bezat
Bezeilen	Bezeilde	Bezeild
Bezeren	Bezeerde	Bezeerd
Bezeveren	Bezeverde	Bezeverd
Bezichtigen	Bezichtigde	Bezichtigd
Bezien	Bezag	Bezien
Bezigen	Bezigde	Gebezigd
Bezingen	Bezong	Bezongen
Bezinken	Bezonk	Bezonken
Bezinnen	Bezon	Bezonnen
Bezoden	Bezoodde	Bezood
Bezolderen	Bezolderde	Bezolderd
Bezomen	Bezoomde	Bezoomd
Bezondigen	Bezondigde	Bezondigd
Bezuipen	Bezoop	Bezopen
Bezuren	Bezuurde	Bezuurd
Bezwadderen	Bezwadderde	Bezwadderd
Bezwalken	Bezwalkte	Bezwalkt
Bezwangeren	Bezwangerde	Bezwangerd
Bezwaren	Bezwaarde	Bezwaard
Bezwendelen	Bezwendelde	Bezwendeld
Bezweten	Bezweette	Bezweet
Bidden	Bad	Gebeden
Biechten	Biechtte	Gebiecht
Bietsen	Bietste	Gebietst
Biezen	Biesde	Gebiesd
Biggelen	Biggelde	Gebiggeld
Biggen	Bigde	Gebigd
Bikkelen	Bikkelde	Gebikkeld
Biljarten	Biljartte	Gebiljart
Billen	Bilde	Gebild
Bimbammen	Bimbamde	Gebimbamd
Bingoën	Bingode	Gebingood
Bissen	Biste	Gebist
Bisseren	Bisseerde	Gebisseerd
Bitteren	Bitterde	Gebitterd
Bitumineren	Bitumineerde	Gebitumineerd
Bivakkeren	Bivakkeerde	Gebivakkeerd
Blaaskaken	Blaaskaakte	Geblaaskaakt
Bladderen	Bladderde	Gebladderd
Blaffen	Blafte	Geblaft
Blakeren	Blakerde	Geblakerd
Blancheren	Blancheerde	Geblancheerd
Blaren	Blaarde	Geblaard
Blasfemeren	Blasfemeerde	Geblasfemeerd
Blauwbekken	Blauwbekte	Geblauwbekt
Blauwen	Blauwde	Geblauwd
Bleken	Bleekte	Gebleekt
Blekken	Blekte	Geblekt
Blerken	Blerkte	Geblerkt
Blesseren	Blesseerde	Geblesseerd
Blieven	Bliefde	Gebliefd
Blikkeren	Blikkerde	Geblikkerd
Blikogen	Blikoogde	Geblikoogd
Bliktanden	Bliktandde	Gebliktand
Blinddoeken	Blinddoekte	Geblinddoekt
Blinden	Blindde	Geblind
Bloeden	Bloedde	Gebloed
Bloemen	Bloemde	Gebloemd
Bloemlezen	Bloemleesde	Gebloemleesd
Bloesemen	Bloesemde	Gebloesemd
Bloezen	Bloesde	Gebloesd
Bloggen	Blogde	Geblogd
Blokken	Blokte	Geblokt
Blokletteren	Blokletterde	Geblokletterd
Blokzeilen	Blokzeilde	Geblokzeild
Blonderen	Blondeerde	Geblondeerd
Bloten	Blootte	Gebloot
Blouwen	Blouwde	Geblouwd
Blowen	Blowde	Geblowd
Blubberen	Blubberde	Geblubberd
Blunderen	Blunderde	Geblunderd
Blèten	Blètte	Geblèt
Bobbelen	Bobbelde	Gebobbeld
Bobben	Bobde	Gebobd
Bobberen	Bobberde	Gebobberd
Bobijnen	Bobijnde	Gebobijnd
Bobsleeën	Bobsleede	Gebobsleed
Bodemen	Bodemde	Gebodemd
Bodyboarden	Bodyboardde	Gebodyboard
Bodybuilden	Bodybuildde	Gebodybuild
Boegseren	Boegseerde	Geboegseerd
Boeien	Boeide	Geboeid
Boekdrukken		
Boekstaven	Boekstaafde	Geboekstaafd
Boeleren	Boeleerde	Geboeleerd
Boerten	Boertte	Geboert
Boetseren	Boetseerde	Geboetseerd
Bogen	Boogde	Geboogd
Bokken	Bokte	Gebokt
Boksen	Bokste	Gebokst
Bolderen	Bolderde	Gebolderd
Bollen	Bolde	Gebold
Bolsteren	Bolsterde	Gebolsterd
Bolwerken	Bolwerkte	Gebolwerkt
Bomberen	Bombeerde	Gebombeerd
Bomchecken	Bomcheckte	Gebomcheckt
Bomen	Boomde	Geboomd
Bommelen	Bommelde	Gebommeld
Bommen	Bomde	Gebomd
Bonjouren	Bonjourde	Gebonjourd
Boodschappen	Boodschapte	Geboodschapt
Boorden	Boordde	Geboord
Booten	Bootte	Geboot
Bootsen	Bootste	Gebootst
Borduren	Borduurde	Geborduurd
Boren	Boorde	Geboord
Borgen	Borgde	Geborgd
Borneren	Borneerde	Geborneerd
Bosseleren	Bosseleerde	Gebosseleerd
Bossen	Boste	Gebost
Bostonnen	Bostonde	Gebostond
Bostonneren	Bostonneerde	Gebostonneerd
Botaniseren	Botaniseerde	Gebotaniseerd
Boten	Bootte	Geboot
Boteren	Boterde	Geboterd
Botsen	Botste	Gebotst
Bouderen	Boudeerde	Geboudeerd
Bowlen	Bowlde	Gebowld
Boycotten	Boycotte	Geboycot
Brabbelen	Brabbelde	Gebrabbeld
Brainstormen	Brainstormde	Gebrainstormd
Brainwashen	Brainwashte	Gebrainwasht
Brallen	Bralde	Gebrald
Brandmerken	Brandmerkte	Gebrandmerkt
Brandschatten	Brandschatte	Gebrandschat
Brandschilderen	Brandschilderde	Gebrandschilderd
Braniën	Braniede	Gebranied
Braveren	Braveerde	Gebraveerd
Breakdancen	Breakdancete	Gebreakdancet
Breakdansen	Breakdanste	Gebreakdanst
Breidelen	Breidelde	Gebreideld
Breien	Breide	Gebreid
Brevetteren	Brevetteerde	Gebrevetteerd
Brevieren	Brevierde	Gebrevierd
Bricoleren	Bricoleerde	Gebricoleerd
Bridgen	Bridgede	Gebridged
Briefen	Briefte	Gebrieft
Brijnen	Brijnde	Gebrijnd
Brijzelen	Brijzelde	Gebrijzeld
Brillen	Brilde	Gebrild
Britsen	Britste	Gebritst
Broddelen	Broddelde	Gebroddeld
Brodden	Brodde	Gebrod
Brokkelen	Brokkelde	Gebrokkeld
Brokken	Brokte	Gebrokt
Bronzen	Bronsde	Gebronsd
Broodroven	Broodroofde	Gebroodroofd
Brossen	Broste	Gebrost
Brouilleren	Brouilleerde	Gebrouilleerd
Brouwen	Brouwde	Gebrouwd
Brouwen	Brouwde	Gebrouwen
Browsen	Browsete	Gebrowset
Bruineren	Bruineerde	Gebruineerd
Brunchen	Brunchte	Gebruncht
Brutaliseren	Brutaliseerde	Gebrutaliseerd
Bruuskeren	Bruuskeerde	Gebruuskeerd
Bubbelen	Bubbelde	Gebubbeld
Budgetteren	Budgetteerde	Gebudgetteerd
Buffelen	Buffelde	Gebuffeld
Bufferen	Bufferde	Gebufferd
Buien	Buide	Gebuid
Builen	Builde	Gebuild
Buizen	Buisde	Gebuisd
Bulldozeren	Bulldozerde	Gebulldozerd
Bulten	Bultte	Gebult
Bundelen	Bundelde	Gebundeld
Bungelen	Bungelde	Gebungeld
Bureaucratiseren	Bureaucratiseerde	Gebureaucratiseerd
Buren	Buurde	Gebuurd
Burlen	Burlde	Geburld
Busselen	Busselde	Gebusseld
Bussen	Buste	Gebust
Buten	Buutte	Gebuut
Butsen	Butste	Gebutst
Buurten	Buurtte	Gebuurt
Cachetteren	Cachetteerde	Gecachetteerd
Cadanceren	Cadanceerde	Gecadanceerd
Calcineren	Calcineerde	Gecalcineerd
Cancelen	Cancelde	Gecanceld
Cancellen	Cancelde	Gecanceld
Canneleren	Canneleerde	Gecanneleerd
Canoniseren	Canoniseerde	Gecanoniseerd
Canvassen	Canvaste	Gecanvast
Capitonneren	Capitonneerde	Gecapitonneerd
Capteren	Capteerde	Gecapteerd
Carpoolen	Carpoolde	Gecarpoold
Casseren	Casseerde	Gecasseerd
Casten	Castte	Gecast
Castigeren	Castigeerde	Gecastigeerd
Catalogeren	Catalogeerde	Gecatalogeerd
Catalogiseren	Catalogiseerde	Gecatalogiseerd
Catechiseren	Catechiseerde	Gecatechiseerd
Categoriseren	Categoriseerde	Gecategoriseerd
Cauteriseren	Cauteriseerde	Gecauteriseerd
Cederen	Cedeerde	Gecedeerd
Cementen	Cementte	Gecement
Censeren	Censeerde	Gecenseerd
Centeren	Centerde	Gecenterd
Centrifugeren	Centrifugeerde	Gecentrifugeerd
Chambreren	Chambreerde	Gechambreerd
Changeren	Changeerde	Gechangeerd
Chanteren	Chanteerde	Gechanteerd
Chaperonneren	Chaperonneerde	Gechaperonneerd
Chargen	Chargede	Gecharged
Chatten	Chatte	Gechat
Chicaneren	Chicaneerde	Gechicaneerd
Chinezen	Chineesde	Gechineesd
Chippen	Chipte	Chipt
Chloren	Chloorde	Gechloord
Chloreren	Chloreerde	Gechloreerd
Chloroformeren	Chloroformeerde	Gechloroformeerd
Choreograferen	Choreografeerde	Gechoreografeerd
Chromeren	Chromeerde	Gechromeerd
Chronometreren	Chronometreerde	Gechronometreerd
Cijferen	Cijferde	Gecijferd
Cirkelen	Cirkelde	Gecirkeld
Ciseleren	Ciseleerde	Geciseleerd
Clausuleren	Clausuleerde	Geclausuleerd
Clicheren	Clicheerde	Geclicheerd
Clusteren	Clusterde	Geclusterd
Co-existeren	Co-existeerde	Geco-existeerd
Coaten	Coatte	Gecoat
Cocoonen	Cocoonde	Gecocoond
Codificeren	Codificeerde	Gecodificeerd
Cohabiteren	Cohabiteerde	Gecohabiteerd
Coifferen	Coiffeerde	Gecoiffeerd
Collaboreren	Collaboreerde	Gecollaboreerd
Collationeren	Collationeerde	Gecollationeerd
Collectioneren	Collectioneerde	Gecollectioneerd
Collectiviseren	Collectiviseerde	Gecollectiviseerd
Collideren	Collideerde	Gecollideerd
Commentariëren	Commentarieerde	Gecommentarieerd
Commercialiseren	Commercialiseerde	Gecommercialiseerd
Committeren	Committeerde	Gecommitteerd
Communiceren	Communiceerde	Gecommuniceerd
Compareren	Compareerde	Gecompareerd
Competeren	Competeerde	Gecompeteerd
Complementeren	Complementeerde	Gecomplementeerd
Complimenteren	Complimenteerde	Gecomplimenteerd
Complotteren	Complotteerde	Gecomplotteerd
Composteren	Composteerde	Gecomposteerd
Comprimeren	Comprimeerde	Gecomprimeerd
Computeren	Computerde	Gecomputerd
Computeriseren	Computeriseerde	Gecomputeriseerd
Concelebreren	Concelebreerde	Geconcelebreerd
Concerteren	Concerteerde	Geconcerteerd
Conciliëren	Concilieerde	Geconcilieerd
Concipiëren	Concipieerde	Geconcipieerd
Concorderen	Concordeerde	Geconcordeerd
Condenseren	Condenseerde	Gecondenseerd
Condoleren	Condoleerde	Gecondoleerd
Confectioneren	Confectioneerde	Geconfectioneerd
Confedereren	Confedereerde	Geconfedereerd
Confereren	Confereerde	Geconfereerd
Configureren	Configureerde	Geconfigureerd
Confirmeren	Confirmeerde	Geconfirmeerd
Conflicteren	Conflicteerde	Geconflicteerd
Conformeren	Conformeerde	Geconformeerd
Confronteren	Confronteerde	Geconfronteerd
Congresseren	Congresseerde	Gecongresseerd
Congrueren	Congrueerde	Gecongrueerd
Consenteren	Consenteerde	Geconsenteerd
Consigneren	Consigneerde	Geconsigneerd
Conspireren	Conspireerde	Geconspireerd
Constitueren	Constitueerde	Geconstitueerd
